ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures,Height,Width,Length,Weight,Weight Minor
224,Adding On - Home Repair Improvement,Time Life,1,,Repair,Time Life,1990,10,"Shows you everything you need to know about adding on extensions to your house, from windows, to new rooms to electrical wiring. DIY is the way to go!",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
225,Landscaping - Home Repair Improvement,Time Life,1,,Repair,Time Life,1990,10,"Everything you need to know about DIY landscaping, from beautifying your yard to adding a backyard pond!",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
226,Adding On - Home Repairs,Time Life,1,,Repair,Time Life,1979,10,"Shows you everything you need to know about adding on extensions to your house, from windows, to new rooms to electrical wiring. DIY is the way to go!",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,22,2,11,14,2,13
227,Paint and Wallpaper - Home Repairs,Time Life,1,,Repair,Time Life,1980,10,All you need to know about paint and wallpaper from choosing the most efficient tools to preparing surfaces for smooth finishes. See pictures!,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
228,Plumbing - Home Repairs,Time Life,1,,Repair,Time Life,1989,10,"Everything you need to know about DIY plumbing repairs, installations and modifications. With illustrations, as well.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,20,2,11,14,2,13
229,Weatherproofing - Home Repairs,Time Life,1,,Repair,Time Life,1977,10,"Everything you need to know about DIY plumbing repairs, installations and modifications. With illustrations, as well.",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
230,Energy Alternative - Home Repairs,Time Life,1,,Repair,Time Life,1982,10,"All you need to build your own DIY projects and harness the power of the sun, wind and water! Great for solar energy projects!",Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
231,Space and Storage - Home Repairs,Time Life,1,,Repair,Time Life,1977,10,A great book for building DIY storage spaces and extensions.,Good ,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Repairs,,Repair Book,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,13
232,Communicable Diseases - Health Encyclopedia,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,18,2,11,14,2,13
233,Body Systems - Health Encyclopedia,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,16,2,11,14,2,13
234,Health Care Systems Cumulative Index,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,13,2,11,14,2,13
235,Safety and Environmental Health,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,13,2,11,14,2,13
236,"Drugs, Alcohol and Tobacco - Health",MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,15,2,11,14,2,13
237,Sexuality and Reproduction - Health ,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,18,2,11,14,2,13
238,Nutrition and Fitness - Health ,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,19,2,11,14,2,13
239,Noncommunicable Diseases and Disorders,MacMillan ,1,,Health,Macmillan Publishing Co.,1995,8,Health reference book from the 90s. Part of a bigger set. See pictures.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,Health,,,Non-Fiction,,,,"young adults, adults",,,18,2,11,14,2,13
240,Psychology Textbook 2nd Edition,Carole Wade,1,,Psychology,Harper and Row,1990,5,A psychology textbook that will teach you about the way human's minds work.,Good,"Worn, but no pages are missing.",Hardback,,English,Health,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,4,10
241,Large Furniture You Can Make - Wood ,Better Homes and Gardens,1,,Woodworking,Meredith Corporation,1991,10,Learn how to make your own large furniture! Become a DIY master wood crafter.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Woodwork,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,1,10
242,Small Furniture You Can Make - Wood,Better Homes and Gardens,1,,Woodworking,Meredith Corporation,1991,10,Everything you need to learn how to make small furniture from tables to shelves to toys.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Woodwork,,,Non-Fiction,,,,"young adults, adults",,,21,2,11,14,1,10
243,Woodworking Tools You Can Make,Better Homes and Gardens,1,,Woodworking,Meredith Corporation,1991,10,Learn how to make your own DIY woodworking tools! With step by step instructions and photos!,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Woodwork,,,Non-Fiction,,,,"young adults, adults",,,22,2,11,14,1,10
244,Atlas of the Body - Time Life,Rand McNally,1,,Health,Time Life ,1980,8,"Learn about the human body and it's evolution. Or not, it's up to you, I can't make you do anything.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,5
245,Dublin - The Great Cities,Brendan Lehane,1,,History,Time Life,1978,20,"Life and culture in Dublin in the late 70's. Talks about the people, places and events of Dublin. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
246,Paris - The Great Cities,Rudolph Chelminski,1,,History,Time Life,1977,20,"Life and culture in Paris in the late 70's. Talks about the people, places and events of Paris. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
247,Vienna - The Great Cities,David Pryce-Jones,1,,History,Time Life,1978,20,"Life and culture in Vienna in the late 70's. Talks about the people, places and events of Vienna. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
248,Berlin - The Great Cities,Frederic V. Grunfeld,1,,History,Time Life,1977,20,"Life and culture in Berlin in the late 70's. Talks about the people, places and events of Berlin. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
249,Jerusalem - The Great Cities,Colin Thubron,1,,History,Time Life,1976,20,"Life and culture in Jerusalem in the late 70's. Talks about the people, places and events of Jerusalem. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
250,Peking - The Great Cities,David Bonavia,1,,History,Time Life,1978,20,"Life and culture in Peking in the late 70's. Talks about the people, places and events of Peking. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
251,New York - The Great Cities,Anthony Burgess,1,,History,Time Life,1976,20,"Life and culture in New York in the late 70's. Talks about the people, places and events of New York. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
252,Prague - The Great Cities,Geoffrey Moorhouse,1,,History,Time Life,1980,20,"Life and culture in Prague in the late 70's. Talks about the people, places and events of Prague. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
253,Tokyo - The Great Cities,Fosco Maraini,1,,History,Time Life,1976,20,"Life and culture in Tokyo in the late 70's. Talks about the people, places and events of Tokyo. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
254,Venice - The Great Cities,Aubrey Menen,1,,History,Time Life,1976,20,"Life and culture in Venice in the late 70's. Talks about the people, places and events of Venice. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
255,The Taj Mahal ,David Carroll,1,,History,Newsweek,1972,20,"All about the Taj Mahal's history, with beautiful pictures and enlightening commentary.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,Dust Jacket,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
256,Sydney - The Great Cities,Peter Porter,1,,History,Time Life,1980,20,"Life and culture in Sydney in the late 70's. Talks about the people, places and events of Sydney. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
257,The Sea - Nature Library,Leonard Engel,1,,Nature,Time Life,1969,10,All about the sea and it's inhabitants. Colorful vivid pictures depict life in the ocean's depths. See pictures!,Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,22,2,11,14,1,13
258,The Earth - Nature Library,Arthur Bieser,1,,Nature,Time Life,1971,10,"A book about the Earth, how it was formed and it's long and mighty history. Includes beautiful pictures and illustrations.",Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,1,13
259,The New World - History of the U.S.,Richard B. Morris,1,,History,Time Life,1963,8,Volume 1 in a bigger set about the history of the United States.,Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,20,2,11,14,1,13
260,The Progressive Era - History of the US,Richard B. Morris,1,,History,Time Life,1963,8,Volume 9 in a bigger set about the History of the United States.,Good,"Some wear and aging on outer cover, but no missing pages or major tears. See pictures.",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,1,13
261,Amsterdam - The Great Cities,Hans Konig,1,,History,Time Life,1977,20,"Life and culture in Amsterdam in the late 70's. Talks about the people, places and events of Amsterdam. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
262,Cairo - The Great Cities,Malise Ruthven,1,,History,Time Life,1980,20,"Life and culture in Cairo in the late 70's. Talks about the people, places and events of Cairo. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
263,Bombay - The Great Cities,Dorn Moraes,1,,History,Time Life,1979,20,"Life and culture in Bombay in the late 70's. Talks about the people, places and events of Bombay. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
264,Rio de Janeiro - The Great Cities,Douglas Botting,1,,History,Time Life,1977,20,"Life and culture in Rio de Janeiro in the late 70's. Talks about the people, places and events of Rio de Janeiro. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
265,Moscow - The Great Cities,Leo Gruliow,1,,History,Time Life,1977,20,Life and culture in Moscow in the late 70's Moscow. Amazing pictures depict life in this great city.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
266,Athens - The Great Cities,William Wyatt Davenport,1,,History,Time Life,1978,20,"Life and culture in Athens in the late 70's. Talks about the people, places and events of Athens. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
267,Istanbul - The Great Cities,Colin Thubron,1,,History,Time Life,1978,20,"Life and culture in Istanbul in the late 70's. Talks about the people, places and events of Istanbul. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
268,Rome - The Great Cities,E.R Chamberlin,1,,History,Time Life,1976,20,"Life and culture in Rome in the late 70's. Talks about the people, places and events of Rome. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
269,Bangkok - The Great Cities,John Blofeld,1,,History,Time Life,1979,20,"Life and culture in Bangkok in the late 70's. Talks about the people, places and events of Bangkok. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
270,Hong Kong - The Great Cities,Robert S. Elegant,1,,History,Time Life,1977,20,"Life and culture in Hong Kong in the late 70's. Talks about the people, places and events of Hong Kong. Amazing pictures depict life in this great city.",Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,History,,,Non-Fiction,,,,"young adults, adults",,,24,2,11,14,2,10
271,Foliage House Plants - Gardening,James Crockett,1,,Gardening,Time Life,1972,12,Level up your gardening skills. Beautiful pictures and step by step instructions for how to make a wonderful garden. Really helpful.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Gardening,,,Non-Fiction,,,,"young adults, adults",,,19,2,11,14,1,13
272,Annuals - Encyclopedia of Gardening,James Crockett,1,,Gardening,Time Life,1972,12,Level up your gardening skills. Beautiful pictures and step by step instructions for how to make a wonderful garden. Really helpful.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Gardening,,,Non-Fiction,,,,"young adults, adults",,,21,2,11,14,1,13
273,Evergreens - Encyclopedia of Gardening,James Crockett,1,,Gardening,Time Life,1972,12,Level up your gardening skills. Beautiful pictures and step by step instructions for how to make a wonderful garden. Really helpful.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Gardening,,,Non-Fiction,,,,"young adults, adults",,,20,2,11,14,1,13
274,Flowering House Plants - Gardening,James Crockett,1,,Gardening,Time Life,1972,12,Level up your gardening skills. Beautiful pictures and step by step instructions for how to make a wonderful garden. Really helpful.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Gardening,,,Non-Fiction,,,,"young adults, adults",,,19,2,11,14,1,13
275,Trees - Encyclopedia of Gardening,James Crockett,1,,Gardening,Time Life,1972,12,Level up your gardening skills. Beautiful pictures and step by step instructions for how to make a wonderful garden. Really helpful.,Good,"Slight wear, no missing pages or major tears. See pictures!",Hardback,,English,Gardening,,,Non-Fiction,,,,"young adults, adults",,,23,2,11,14,1,13
276,Reader's Digest Books Vol 1.-1963,Readers Digest,1,,Drama,Reader's Digest Association,1962,5,"A collection of classic stories condensed into one volume in 1963. Includes: Second Growth, To Catch An Angel, I Take This Land, America America, Hell Creek Crossing, Two Hours to Darkness. See pictures!",Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,15,2,7,10,1,12
277,Reader's Digest Books Vol 1.-1973,Readers Digest,1,,Drama,Reader's Digest Association,1973,8,A collection of classic stories condensed into one volume in 1973. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
278,Reader's Digest Books Vol. 2-1970,Readers Digest,1,,Drama,Reader's Digest Association,1970,8,A collection of classic stories condensed into one volume in 1970. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
279,Reader's Digest Books Vol 2.-1971,Readers Digest,1,,Drama,Reader's Digest Association,1971,8,A collection of classic stories condensed into one volume in 1971. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
280,Reader's Digest Best Sellers-1970,Readers Digest,1,,Drama,Reader's Digest Association,1970,8,A collection of classic stories condensed into one volume in 1970. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
281,Reader's Digest Books Vol. 1-1967,Readers Digest,1,,Drama,Reader's Digest Association,1967,5,A collection of classic stories condensed into one volume in 1967. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
282,Reader's Digest Books Vol. 3-1966,Readers Digest,1,,Drama,Reader's Digest Association,1966,5,A collection of classic stories condensed into one volume in 1966. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
283,Reader's Digest Books Vol. 2-1967,Readers Digest,1,,Drama,Reader's Digest Association,1967,8,A collection of classic stories condensed into one volume in 1967. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
284,Reader's Digest Books Vol. 2-1973,Readers Digest,1,,Drama,Reader's Digest Association,1973,12,A collection of classic stories condensed into one volume in 1973. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
285,Reader's Digest Books Vol. 2-1981,Readers Digest,1,,Drama,Reader's Digest Association,1981,12,A collection of classic stories condensed into one volume in 1981. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
286,Reader' Digest Best Sellers-1966,Readers Digest,1,,Drama,Reader's Digest Association,1966,12,A collection of classic stories condensed into one volume in 1966. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
287,Reader's Digest Books Vol. 3-1971,Readers Digest,1,,Drama,Reader's Digest Association,1971,12,A collection of classic stories condensed into one volume in 1971. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
288,Animal Behavior Nature Library,Niko Tinbergen,1,,Nature,Time Life,1973,10,Learn about Animals and their behaviors. What makes them tick and act the way they do? Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
289,The Desert Nature Library,A. Starker Leapold,1,,Nature,Time Life,1974,10,Learn about the Desert environment and the wildlife that inhabits it. Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
290,The Insects Nature Library,Peter Farb,1,,Nature,Time Life,1974,10,Learn about various insects and bugs. Educational and interesting. Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
291,Wildlife of South America Nature Library,Marston Bates,1,,Nature,Time Life,1974,10,Learn about the Wildlife of South America. Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
292,Wildlife of Australia Nature Library,Davif Bergamini,1,,Nature,Time Life,1972,10,Learn about the Wildlife of Australia. Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
293,Wildlife of Tropical Asia Nature Library,S. Dillon Ripley,1,,Nature,Time Life,1974,10,Learn about the wildlife of Tropical Asia. Vivid photography and colorful illustration. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults",,,12,2,11,14,1,12
294,Reader's Digest Books Vol. 4-1966,Readers Digest,1,,Drama,Reader's Digest Association,1966,15,A collection of classic stories condensed into one volume in 1966. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
295,Reader's Digest Books Vol. 4-1969,Readers Digest,1,,Drama,Reader's Digest Association,1969,15,A collection of classic stories condensed into one volume in 1969. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
296,Reader's Digest Books 1972,Readers Digest,1,,Drama,Reader's Digest Association,1972,12,A collection of classic stories condensed into one volume in 1972. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
297,Reader's Digest Books Vol. 4-1971,Readers Digest,1,,Drama,Reader's Digest Association,1971,5,A collection of classic stories condensed into one volume in 1971. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
298,Reader's Digest Books Vol. 2-1980,Readers Digest,1,,Drama,Reader's Digest Association,1980,12,A collection of classic stories condensed into one volume in 1980. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
299,Reader's Digest Books Vol. 4-1968,Readers Digest,1,,Drama,Reader's Digest Association,1968,15,A collection of classic stories condensed into one volume in 1968. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
300,Reader's Digest Books Vol. 3-1968,Readers Digest,1,,Drama,Reader's Digest Association,1968,15,A collection of classic stories condensed into one volume in 1968. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
301,Reader's Digest Books Vol 2.-1968,Readers Digest,1,,Drama,Reader's Digest Association,1968,15,A collection of classic stories condensed into one volume in 1968. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
302,Reader's Digest Books Vol. 2-1969,Readers Digest,1,,Drama,Reader's Digest Association,1969,8,A collection of classic stories condensed into one volume in 1969. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
303,Reader's Digest Books Vol. 2-1963,Readers Digest,1,,Drama,Reader's Digest Association,1963,5,A collection of classic stories condensed into one volume in 1969. See pictures for the list of included stories!,Good ,"Some wear, but no missing pages. See pictures.",Hardback,,English,Stories,,,Non-Fiction,,,,"young adults, adults",,,12,2,7,10,1,12
304,The Fishes Nature Library,F. D. Ommanney,1,,Nature,Time Life,1970,10,"Wonderful book about fishes, with vivid photography and easy to understand explanations. See pictures!",Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
305,The Sea Nature Library,Leonard Engel,1,,Nature,Time Life,1971,10,Wonderful book about life in the mighty sea! Vivid photography and colorful illustrations bring these pages to life and give glimpse into life in the deep blue ocean. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
306,Wildlife of Eurasia,Francois Bourliere,1,,Nature,Time Life,1974,8,Learn about the diverse wildlife in Eurasia. Lots of fascinating pictures and illustrations. See pictures!,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
307,The Universe Nature Library,David Bergamini,1,,Nature,Time Life,1971,10,"Blow your mind with this awesome book at the universe and tremble at the exisistential crisis you'll experience after understanding that you are a mere speck in the vast void of space. What does it mean to be real, anyways? Wonderful color photographs and groovy illustrations! See pictures.",Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
308,The Forest Nature Library,Peter Farb,1,,Nature,Time Life,1963,10,Fascinating book about the various Forests of the world and the many ecosystems in them. Wonderful photographs and illustrations.,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
309,The Poles Nature Library,Willy Ley,1,,Nature,Time Life,1973,10,Learn about life and the environment in both the North and the South pole. Amazing pictures that will chill you to the bone! See pictures.,Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
310,The Mammals,Richard Carrington,1,,Nature,Time Life,1972,10,"Do you like mammals? Sure you do, why else would you be looking at this book! Learn all about the most fascinating critters in this book. Marvel at the wonderful photography and colorful illustrations. Resent the current paradigm for slowly killing these animals. This book will make you feel it all. See pictures!",Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
311,Early Man Nature Library,F. Clark Howell,1,,Nature,Time Life,1971,8,"Where do we come from? And who are we? So many questions, perhaps you'll have some of them answered in this book. Many wonderful illustrations. See pictures!",Good,"Some wear, but no missing pages. See pictures.",Hardback,,English,Nature,,,Non-Fiction,,,,"young adults, adults, children",,,12,2,11,14,1,12
